Nom,Marque,Prix,Description,Url,Url_image
Clavier + SourisLOGITECHMK270 Wireless Desktop,LOGITECH,"28,99€","Sans fil (Dongle USB)Alimentation : 2 Piles AAA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :Sans fil offre une connexion rapide, fiable ; longévité de plusieurs mois sans besoin de changer les piles (commutateur Marche/Arrêt)",/ref/1000407,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206039162_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHWave Keys ergonomique +  repose poignets,LOGITECH,"79,99€",BluetoothSupport poignetAlimentation : 2 Piles AAALe + :Un clavier ergonomique avec repose poignet,/ref/1197624,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206117280_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHPro X LIGHTSPEED  TKL Tactile Noir,LOGITECH,"229,00€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :Clavier très réactif pour le jeu avec des switches tactiles GX-BROWN",/ref/1194956,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206113367_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK950 Signature Slim Bluetooth Graphite,LOGITECH,"119,99€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AA,/ref/1203423,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206119369_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHMX Keys S  Silencieux Graphite,LOGITECH,"119,00€","BluetoothTouches silencieusesAlimentation : USB -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :L'automatisation des tâches répétitives pour gagner du temps.",/ref/1192236,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206112261_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHG PRO X 60 LIGHTSPEED NOIR,LOGITECH,"189,99€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :mécanique ultra compact TKL 60%, RVB, touches en PBT double couche, switchs tactiles GX optiques",/ref/1202904,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206112810_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHK400 Plus Black,LOGITECH,"37,99€","Sans fil (Dongle USB)Alimentation : 2 Piles AA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :son autonomie de 18 mois et le pavé tactile intégré.",/ref/1053793,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206059276_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHSignature Slim K950 Bluetooth - Graphite,LOGITECH,"89,99€",BluetoothTouches silencieusesAlimentation : 2 Piles AAA,/ref/1203422,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206118812_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHG915 TKL LIGHTSPEED RVB,LOGITECH,"139,00€","Touches : mécanique -
              
            
              
              Switch : brownType de Switch : tactileRétroéclairage : RGBBluetoothLe + :40 heures d'autonomies avec une seule charge",/ref/1175479,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206088764_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK295 Silent Wireless Combo,LOGITECH,"34,95€",Sans filTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Technologie Silent Touch qui élimine plus de 90 % des bruits du clavier et de la souris,/ref/1155008,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206092389_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHCombo Pebble 2,LOGITECH,"74,99€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Pack souris et clavier compact,/ref/1195714,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206115583_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK950 Signature Slim Bluetooth Blanc,LOGITECH,"119,99€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AA,/ref/1203424,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206120310_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamerLOGITECHG512 CARBON GX BLUE,LOGITECH,"129,99€","Touches : mécanique -
              
            
              
              Switch : blueRétroéclairage : RGBFilaireLe + :ses touche Clicky pour un retour audible et tactile similaire aux switches gaming traditionnels.",/ref/1131066,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206080188_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
